tweets,id,len,date,source,likes,retweets,polarity,subjectivity,Sentiment
": takes a load of bollocks to take a free-kick like this in the dying seconds of a world cup quarter-final. 

ned | ar…",1601341967912570880,140,2022-12-09 22:24:11,Twitter for iPhone,0,209,0.0,0.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341967337938944,115,2022-12-09 22:24:11,Twitter for iPhone,0,212,0.0,0.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341967249846273,115,2022-12-09 22:24:11,Twitter for Android,0,212,0.0,0.0,Neutral
": semi-final spot: secured :locked::check_mark_button:

fifaworldcup | qatar2022 ",1601341967048527872,97,2022-12-09 22:24:11,Twitter for iPhone,0,1051,0.0,0.0,Neutral
": :portugal: cristiano ronaldo after 100 games;

:soccer_ball: 725 goals 
:bullseye: 216 assists 
:trophy: 31 trophies 

:argentina: lionel messi after 100 games;…",1601341966712995841,137,2022-12-09 22:24:11,Twitter for Android,0,14366,0.0,0.0,Neutral
: one thing about lionel messi is that he will always step out and play the first penalty no matter what. no 5th penalty…,1601341965873729536,139,2022-12-09 22:24:10,Twitter for Android,0,38,0.25,0.3333333333333333,Positive
": :police_car_light: emiliano martinez: “we had the worst referee in the wc, by far” fifaworldcup",1601341965861548032,98,2022-12-09 22:24:10,Twitter for iPhone,0,711,-0.45,1.0,Negative
"vamoss argentina:argentina::trophy: the dream for the glory continues. up next croatia 
thodi der ke liye goti muh mein tha… ",1601341965144305664,134,2022-12-09 22:24:10,Twitter for Android,0,0,0.0,0.0,Neutral
"ivan perisic's son, leo, ran over to console neymar after the match :crying_face:

sports. :red_heart:
البرازيل_كرواتيا fifaworldcup ",1601341964410294272,137,2022-12-09 22:24:10,Twitter for Android,0,0,0.0,0.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341963542089728,115,2022-12-09 22:24:10,Twitter for Android,0,212,0.0,0.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341963206131712,115,2022-12-09 22:24:10,Twitter for iPhone,0,212,0.0,0.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341963084922880,115,2022-12-09 22:24:10,Twitter for iPhone,0,212,0.0,0.0,Neutral
": :police_car_light: emiliano martinez: “we had the worst referee in the wc, by far” fifaworldcup",1601341963009110017,98,2022-12-09 22:24:10,Twitter for Android,0,711,-0.45,1.0,Negative
": :police_car_light: messi: “a tough game awaits us against croatia, it's a semi-final and it's going to be very tough. we are really enjoy…",1601341962488987648,140,2022-12-09 22:24:10,Twitter for Android,0,306,-0.27361111111111114,0.6083333333333334,Negative
a new amazing brand onboarded. watch fifaworldcup and cheer for your favorite team together with 22bet. ,1601341961826631681,128,2022-12-09 22:24:09,Twitter Web App,0,0,0.4121212121212121,0.7848484848484848,Positive
this world cup is absolutely :hundred_points: insane:exploding_head:. back-to-back on the edge of your seat games:grinning_face_with_smiling_eyes:. i really can’t get enough fifaworldcup,1601341961419468801,125,2022-12-09 22:24:09,Twitter for iPhone,0,0,0.13333333333333333,0.5333333333333333,Positive
" france vs argentina is the final i am looking forward too. 
fifaworldcup qatar2022",1601341960836755458,103,2022-12-09 22:24:09,Twitter for Android,0,0,0.0,1.0,Neutral
"what a match fifaworldcup 
nedvsarg 
arg is still alive
into the semi-final 
well played by ned… ",1601341960538636288,124,2022-12-09 22:24:09,Twitter for iPhone,0,0,0.1,0.4,Positive
": no chill from some of the argentina boys :grimacing_face:

fifaworldcup | qatar2022 ",1601341960236978176,113,2022-12-09 22:24:09,Twitter for iPhone,0,44,0.0,0.0,Neutral
": :red_exclamation_mark:messi: ""i don't want to talk about the referee because you can't be honest. if you talk they sanction you, fifa must t…",1601341960132100098,140,2022-12-09 22:24:09,Twitter for Android,0,1032,0.6,0.9,Positive
": what a photo.

arg | fifaworldcup ",1601341958923788288,80,2022-12-09 22:24:09,Twitter for Android,0,103,0.0,0.0,Neutral
": semi-final spot: secured :locked::check_mark_button:

fifaworldcup | qatar2022 ",1601341958123053056,97,2022-12-09 22:24:08,Twitter for iPhone,0,1051,0.0,0.0,Neutral
": argentina players appear to taunt the dutch after they beat them on penalties :argentina::netherlands:

telegraphfootball fifaworldcup http…",1601341957774929920,140,2022-12-09 22:24:08,Twitter for Android,0,37,0.0,0.0,Neutral
": :speaking_head: 𝐌𝐎𝐑𝐄 𝐅𝐈𝐅𝐀𝐖𝐨𝐫𝐥𝐝𝐂𝐮𝐩 𝐃𝐑𝐀𝐌𝐀!

netherlands equalize with the last kick of regulation time from 2-0 down.

:television: stream extra time…",1601341956722163718,140,2022-12-09 22:24:08,Twitter for Android,0,126,-0.051851851851851864,0.15185185185185188,Negative
"everytime i recall brazil were eliminated.
fifaworldcup
",1601341956705378304,80,2022-12-09 22:24:08,Twitter for Android,0,0,0.0,0.0,Neutral
": :trophy: lionel messi’s argentina is two wins away from winning his 1st fifa world cup.

:soon_arrow: fifaworldcup champions

messi𓃵|arg…",1601341956310765568,140,2022-12-09 22:24:08,Twitter for Android,0,145,0.4,0.475,Positive
": what it means :red_heart::argentina:

fifaworldcup | fifafanfestival ",1601341956247867392,94,2022-12-09 22:24:08,Twitter for Android,0,247,0.0,0.0,Neutral
"if 

this is  then this is 
hand egg  hand ball 

fifaworldcup… ",1601341955040215040,139,2022-12-09 22:24:08,Twitter for Android,0,0,0.0,0.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341955002478592,115,2022-12-09 22:24:08,Twitter for iPhone,0,212,0.0,0.0,Neutral
": “god of messi” leo messi the goat𓃵 leads argentina to semi finals ,this is the greatest world cup ever and the best world…",1601341954318815233,140,2022-12-09 22:24:08,Twitter for iPhone,0,5,1.0,0.65,Positive
messi on his way to the hotel after the game fifaworldcup,1601341954293641216,58,2022-12-09 22:24:08,Twitter for iPhone,0,0,-0.4,0.4,Negative
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341952753926144,115,2022-12-09 22:24:07,Twitter for Android,0,213,0.0,0.0,Neutral
": what a match! what a day for football! it's all over, and argentina squeeze their way into the last four. 

penalties…",1601341952511074304,139,2022-12-09 22:24:07,Twitter for iPhone,0,2,0.0,0.06666666666666667,Neutral
" argentina will go all the way to the finals and win the world cup  :trophy: 
fifaworldcup qatarworldcup2022",1601341952321937408,116,2022-12-09 22:24:07,Twitter for Android,0,0,0.8,0.4,Positive
": • :studio_microphone:| leo messi: ""fifa can't put these referees in a match like this. he's not up to par.""

• :studio_microphone:| emiliano martinez: ""we ha…",1601341951931842560,140,2022-12-09 22:24:07,Twitter for Android,0,120,0.0,0.0,Neutral
": what an insane day of football.

this world cup is undefeated. 

fifaworldcup ",1601341951831576578,123,2022-12-09 22:24:07,Twitter for iPhone,0,108,-1.0,1.0,Negative
": :police_car_light: emiliano martinez: “we’re in the sf’s because we have balls, we did it for 45 million people” fifaworldcup",1601341951441129472,128,2022-12-09 22:24:07,Twitter for Android,0,264,0.0,0.0,Neutral
": it all came down to lautaro martínez, the final penalty taker for argentina. martínez scored his team's fourth goal of the sho…",1601341951059820544,140,2022-12-09 22:24:07,Twitter for Android,0,18,-0.051851851851851864,0.42962962962962964,Negative
": what it means :red_heart::argentina:

fifaworldcup | fifafanfestival ",1601341951009165313,94,2022-12-09 22:24:07,Twitter for iPhone,0,247,0.0,0.0,Neutral
"lione messi the goat𓃵 
just two more wins left messi𓃵 
fifaworldcup ",1601341951004925952,94,2022-12-09 22:24:07,Twitter for Android,0,0,0.26666666666666666,0.2333333333333333,Positive
"happy for messi:partying_face::partying_face::partying_face:

what a performance. 

argentina vs croatia in the semi final！

fifaworldcup ned  arg … ",1601341950086377472,133,2022-12-09 22:24:07,Twitter for iPhone,0,0,0.8,1.0,Positive
": tite resigns! 

tite has resigned as the head coach of brazil following their quarterfinal defeat to croatia. 

farpost
…",1601341949596045314,140,2022-12-09 22:24:06,Twitter for Android,0,10,0.0,0.1,Neutral
": this is going to be exciting :fire::soccer_ball:

fifaworldcup ",1601341949230792704,87,2022-12-09 22:24:06,Twitter for Android,0,1234,0.3,0.8,Positive
": louis van gaal has never lost a world cup game but has been knocked out twice:

◎ 2014 - 2-4 on pens vs. :argentina:
◉ 2022 - 3-4 on pe…",1601341948958474240,140,2022-12-09 22:24:06,Twitter for Android,0,159,-0.4,0.4,Negative
"where is messi ? 
messi: i'm here :flexed_biceps_medium_skin_tone::smiling_face_with_heart-eyes::fire:

fifaworldcup 
qatar2022 ",1601341948912357377,89,2022-12-09 22:24:06,Twitter for Android,0,0,0.0,0.0,Neutral
": :red_exclamation_mark:messi: ""i don't want to talk about the referee because you can't be honest. if you talk they sanction you, fifa must t…",1601341948568408065,140,2022-12-09 22:24:06,Twitter for iPhone,0,1032,0.6,0.9,Positive
"nedvsarg
argentina
worldcup2022
messi𓃵
worldcup
qatar2022
fifaworldcup

only salem  knows how to b… ",1601341948027363328,140,2022-12-09 22:24:06,Twitter for Android,0,0,0.0,1.0,Neutral
: marked by three dutch players and he still finds the space and time to pick out a pass for molina. lionel messi is out…,1601341947507277824,139,2022-12-09 22:24:06,Twitter for Android,0,451,0.1,0.6,Positive
": :police_car_light: messi: “a tough game awaits us against croatia, it's a semi-final and it's going to be very tough. we are really enjoy…",1601341947238490112,140,2022-12-09 22:24:06,Twitter for iPhone,0,306,-0.27361111111111114,0.6083333333333334,Negative
": since 1982, there’s been an inter milan player in every world cup final

one of marcelo brozovic &amp; lautaro martinez will kee…",1601341947146391553,144,2022-12-09 22:24:06,Twitter for Android,0,161,0.0,1.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341947003940864,115,2022-12-09 22:24:06,Twitter for Android,0,213,0.0,0.0,Neutral
"semi-final boarding pass issued :star-struck:

congratulations argentina! :argentina:

fifaworldcup qatar2022 ",1601341946978787328,114,2022-12-09 22:24:06,Twitter Web App,0,0,0.0,0.0,Neutral
: argentina wins 4-3 in penalties against netherlands at the world cup. fifaworldcup ,1601341946894897152,120,2022-12-09 22:24:06,Twitter for Android,0,2384,0.3,0.2,Positive
: sat down with the legend peter drury in doha on how he comes up with the poetic commentary as per the questions you guys se…,1601341945980522497,140,2022-12-09 22:24:06,Twitter for iPhone,0,849,0.10972222222222221,0.5194444444444445,Positive
": huge night for lionel messi! netherlands vs argentina is the repeat of the 2014 world cup semifinal, we have already missed…",1601341945854377984,140,2022-12-09 22:24:06,Twitter for Android,0,9,0.5000000000000001,0.9,Positive
": • :studio_microphone:| leo messi: ""fifa can't put these referees in a match like this. he's not up to par.""

• :studio_microphone:| emiliano martinez: ""we ha…",1601341945720492033,140,2022-12-09 22:24:06,Twitter for iPhone,0,120,0.0,0.0,Neutral
": since 1982, there’s been an inter milan player in every world cup final

one of marcelo brozovic &amp; lautaro martinez will kee…",1601341945368174594,144,2022-12-09 22:24:05,Twitter for Android,0,161,0.0,1.0,Neutral
": :red_exclamation_mark:messi: “what are you looking at? continue ahead, fool” fifaworldcup 

",1601341945028444161,115,2022-12-09 22:24:05,Twitter for iPhone,0,213,0.0,0.0,Neutral
so basically  and  charged me so i can watch your ad in the middle of fifaworldcup game-deciding p… ,1601341944810340354,140,2022-12-09 22:24:05,Twitter Web App,0,0,0.0,0.0,Neutral
